Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Avg Travel Time (sec),Avg All Travel Time (sec),Avg Trip Length (mi),Avg All Trip Length (mi)
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,5: Friday (F-F),22: 9pm (9pm-10pm),6,4282,4282,24.4,24.4
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,6: Saturday (Sa-Sa),00: All Day (12am-12am),217,2728,2696,10.7,10.3
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,6: Saturday (Sa-Sa),06: 5am (5am-6am),17,1979,1979,5.7,5.7
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,6: Saturday (Sa-Sa),07: 6am (6am-7am),12,1642,1642,6.5,6.5
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,6: Saturday (Sa-Sa),10: 9am (9am-10am),10,3391,3391,14.6,14.6
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,6: Saturday (Sa-Sa),11: 10am (10am-11am),31,2915,2915,12.0,12.0
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,6: Saturday (Sa-Sa),12: 11am (11am-12noon),17,3933,3814,12.3,11.3
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,6: Saturday (Sa-Sa),13: 12pm (12noon-1pm),22,2886,2608,11.0,9.5
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,6: Saturday (Sa-Sa),14: 1pm (1pm-2pm),23,2735,2735,7.4,7.4
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,6: Saturday (Sa-Sa),15: 2pm (2pm-3pm),4,2043,2043,8.4,8.4
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,6: Saturday (Sa-Sa),16: 3pm (3pm-4pm),15,2329,2080,5.7,5.0
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,6: Saturday (Sa-Sa),17: 4pm (4pm-5pm),10,2098,2098,4.0,4.0
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,6: Saturday (Sa-Sa),18: 5pm (5pm-6pm),19,3669,3669,26.1,26.1
